f1_entropy,f2_strings_density,f3_log_size,label
5.347202,11.168919,5.1805644,0
5.225009,13.593023,5.245831,0
5.9453115,13.027778,5.928331,0
3.1932049,8.646444,4.797745,0
5.8793483,11.97043,5.580844,0
3.763648,8.3529415,4.842815,0
5.421897,7.625,5.0273376,0
3.6794703,9.722222,4.867638,0
3.8205693,10.85,4.7884583,0
3.0944772,7.9166665,4.6915503,0
6.2243176,9.971723,5.6856565,0
5.79193,7.825,5.2144227,0
4.894184,8.455129,5.2034273,0
5.2344,9.349206,5.411702,0
2.2661607,5.35,4.6123705,0
3.3131928,8.65625,4.8164864,0
2.1049979,5.825,4.6123705,0
2.797187,6.3333335,4.6915503,0
3.2961786,8.634615,4.7263117,0
4.096943,8.958333,4.867638,0
5.9818325,8.014706,5.143842,0
6.1889005,14.974482,5.920132,0
5.7667985,9.689189,5.1805644,0
4.204865,9.583333,4.867638,0
2.3535533,6.4,4.6123705,0
4.708777,11.612049,5.1393533,0
4.4341574,8.446428,5.235612,0
5.324858,15.103795,5.44706,0
